Month,Day,Resource,Location,Value,Unit,Source
Sep,29,Electricity,Puerto Rico,5,percent,AEE
Sep,29,Telecomunications,Puerto Rico,30.5,percent,JRTC
Sep,29,Cell towers,Puerto Rico,9.7,percent,FCC
Sep,29,People in shelters,Puerto Rico,11105,number,Vivienda
Sep,29,Water,Metro,48.75,percent,AAA
Sep,29,Water,Norte,25.47,percent,AAA
Sep,29,Water,Oeste,29.95,percent,AAA
Sep,29,Water,Sur,58.5,percent,AAA
Sep,29,Water,Este,38.96,percent,AAA
Sep,29,Hospitals,Puerto Rico,34,number,ASES
Oct,1,Electricity,Puerto Rico,5,percent,AEE
Oct,1,Cell antennas,Puerto Rico,300,number,FCC
Oct,2,Telecomunications,Puerto Rico,40,percent,JRTC
Oct,2,Cell towers,Puerto Rico,270,number,JRTC
Oct,2,People in shelters,Puerto Rico,8867,number,Vivienda
Oct,2,Hospitals,Puerto Rico,51,number,Departamento de Salud Federal y Local
Oct,2,Hospitals with electricity,Puerto Rico,10,number,Departamento de Salud Federal y Local
Oct,2,Water,Puerto Rico,47,percent,AAA
Oct,2,Water,Metro,57.5,percent,AAA
Oct,2,Water,Norte,29,percent,AAA
Oct,2,Water,Oeste,20.8,percent,AAA
Oct,2,Water,Sur,67,percent,AAA
Oct,2,Water,Este,50,percent,AAA
Oct,2,Cell antennas,Puerto Rico,312,number,FCC
Oct,3,Electricity,Puerto Rico,6.89,percent,AEE
Oct,3,Telecomunications,Puerto Rico,40,percent,JRTC
Oct,3,Cell towers,Puerto Rico,365,number,JRTC
Oct,3,People in shelters,Puerto Rico,9343,number,Vivienda
Oct,3,Hospitals,Puerto Rico,51,number,Departamento de Salud Federal y Local
Oct,3,Hospitals with electricity,Puerto Rico,17,number,Departamento de Salud Federal y Local
Oct,3,Water,Puerto Rico,45,percent,AAA
Oct,3,Water,Metro,57.6,percent,AAA
Oct,3,Water,Norte,13,percent,AAA
Oct,3,Water,Oeste,25,percent,AAA
Oct,3,Water,Sur,73,percent,AAA
Oct,3,Water,Este,45,percent,AAA
Oct,4,Electricity,Puerto Rico,8.6,percent,AEE
Oct,4,Telecomunications,Puerto Rico,43.32,percent,JRTC
Oct,4,People in shelters,Puerto Rico,8802,number,Vivienda
Oct,4,Water,Puerto Rico,48.2,percent,AAA
Oct,4,Water,Metro,63.33,percent,AAA
Oct,4,Water,Norte,14.67,percent,AAA
Oct,4,Water,Oeste,30.31,percent,AAA
Oct,4,Water,Sur,77.68,percent,AAA
Oct,4,Water,Este,45.2,percent,AAA
Oct,5,Electricity,Puerto Rico,9.2,percent,AEE
Oct,5,Telecomunications,Puerto Rico,45,percent,JRTC
Oct,5,Cell antennas,Puerto Rico,362,number,FCC
Oct,5,Cell towers,Puerto Rico,423,number,JRTC
Oct,5,People in shelters,Puerto Rico,8585,number,Vivienda
Oct,5,Hospitals,Puerto Rico,64,number,Departamento de Salud Federal y Local
Oct,5,Hospitals with electricity,Puerto Rico,25,number,Departamento de Salud Federal y Local
Oct,5,Water,Puerto Rico,54.2,percent,AAA
Oct,5,Water,Metro,63.87,percent,AAA
Oct,5,Water,Norte,19.93,percent,AAA
Oct,5,Water,Oeste,39.85,percent,AAA
Oct,5,Water,Sur,77.23,percent,AAA
Oct,5,Water,Este,62.73,percent,AAA
Oct,6,Electricity,Puerto Rico,10.7,percent,AEE
Oct,6,Telecomunications,Puerto Rico,42,percent,JRTC
Oct,6,Cell antennas,Puerto Rico,406,number,FCC
Oct,6,Cell towers,Puerto Rico,390,number,JRTC
Oct,6,People in shelters,Puerto Rico,8349,number,Vivienda
Oct,6,Hospitals,Puerto Rico,68,number,Departamento de Salud Federal y Local
Oct,6,Hospitals with electricity,Puerto Rico,25,number,Departamento de Salud Federal y Local
Oct,6,Water,Puerto Rico,55.5,percent,AAA
Oct,6,Water,Metro,64,percent,AAA
Oct,6,Water,Norte,28,percent,AAA
Oct,6,Water,Oeste,69,percent,AAA
Oct,6,Water,Sur,69,percent,AAA
Oct,6,Water,Este,63,percent,AAA
Oct,7,Electricity,Puerto Rico,11.7,percent,AEE
Oct,7,Telecomunications,Puerto Rico,44,percent,JRTC
Oct,7,Cell antennas,Puerto Rico,422,number,FCC
Oct,7,Cell towers,Puerto Rico,390,number,JRTC
Oct,7,Water,Puerto Rico,56.24,percent,AAA
Oct,7,People in shelters,Puerto Rico,7442,number,Vivienda
Oct,7,Water,Metro,65,percent,AAA
Oct,7,Water,Norte,20,percent,AAA
Oct,7,Water,Oeste,48,percent,AAA
Oct,7,Water,Sur,78,percent,AAA
Oct,7,Water,Este,64,percent,AAA
Oct,7,Hospitals,Puerto Rico,66,number,Departamento de Salud Federal y Local
Oct,7,Hospitals with electricity,Puerto Rico,25,number,Departamento de Salud Federal y Local
Oct,8,Electricity,Puerto Rico,11.7,percent,AEE
Oct,8,Telecomunications,Puerto Rico,52,percent,JRTC
