date,sentences
"2017-07-01",0
"2017-07-04",24
"2017-07-07",0
"2017-07-10",0
"2017-07-13",0
"2017-07-16",0
"2017-07-19",0
"2017-07-22",0
"2017-07-25",0
"2017-07-28",0
"2017-07-31",11
"2017-08-03",0
"2017-08-06",5
"2017-08-09",8
"2017-08-12",0
"2017-08-15",7
"2017-08-18",4
"2017-08-21",12
"2017-08-24",3481
"2017-08-27",6217
"2017-08-30",4744
"2017-09-02",2258
"2017-09-05",3253
"2017-09-08",1609
"2017-09-11",1501
"2017-09-14",742
"2017-09-17",665
"2017-09-20",643
"2017-09-23",264
"2017-09-26",702
"2017-09-29",263
"2017-10-02",362
"2017-10-05",255
"2017-10-08",228
"2017-10-11",429
"2017-10-14",146
"2017-10-17",212
"2017-10-20",173
